Search keyword report
"July 1, 2025 - December 30, 2025"
Keyword status,Keyword,Match type,Status,Status reasons,Conv. value,Conv. value / cost,Final URL,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.,Original conv. value
Enabled,"""WashOn""",Phrase match,Limited,low quality,0.00,0.00,,1,31,3.23%,AED,5.10,5.10,0.00%,0.00,0.00, --
Enabled,"""Washmen""",Phrase match,Limited,low quality,0.00,0.00,,2,182,1.10%,AED,2.76,5.52,0.00%,0.00,0.00, --
Enabled,"""Le Degraissage Laundry""",Phrase match,Limited,low quality,0.00,0.00,,0,2,0.00%,AED,0,0.00,0.00%,0.00,0.00, --
Enabled,dry cleaners,Broad match,Eligible,,506.30,0.04,,"3,056","28,219",10.83%,AED,4.03,12319.95,10.57%,323.14,38.13, --
Enabled,Shoe laundry,Broad match,Eligible,,20.67,0.04,,164,"1,732",9.47%,AED,2.96,485.49,11.59%,19.00,25.55, --
Enabled,Upholstery cleaning in UAE,Broad match,Eligible,,0.00,0.00,,2,127,1.57%,AED,0.64,1.28,0.00%,0.00,0.00, --
Enabled,"""wedding dress preservation""",Phrase match,Eligible,,0.00,0.00,,3,6,50.00%,AED,1.42,4.27,0.00%,0.00,0.00, --
Enabled,laundry service,Broad match,Limited,low quality,51.36,0.04,,343,"4,126",8.31%,AED,4.10,1407.70,12.24%,42.00,33.52, --
Enabled,laundry and ironing,Broad match,Eligible,,4.00,0.04,,25,443,5.64%,AED,4.15,103.65,16.00%,4.00,25.91, --
Enabled,5asec,Broad match,Limited,low quality,0.00,0.00,,0,20,0.00%,AED,0,0.00,0.00%,0.00,0.00, --
Enabled,dry cleaning near me,Broad match,Limited,low quality,4.00,0.01,,89,"1,233",7.22%,AED,4.24,377.07,5.62%,5.00,75.41, --
Enabled,designer bag restoration,Broad match,Eligible,,14.67,0.04,,85,"1,284",6.62%,AED,4.20,357.03,14.12%,12.00,29.75, --
Enabled,Laundry,Broad match,Eligible,,37.00,0.03,,326,"5,264",6.19%,AED,3.86,1259.84,11.35%,37.00,34.05, --
Enabled,"""Primavera""",Phrase match,Eligible,,0.00,0.00,,0,0, --,AED,0,0.00,0.00%,0.00,0.00, --
Enabled,Carpet and Upholstery cleaning,Broad match,Eligible,,42.67,0.04,,209,"2,589",8.07%,AED,5.50,1149.97,19.14%,40.00,28.75, --
Enabled,laundry uae,Broad match,Eligible,,3.00,0.07,,13,456,2.85%,AED,3.14,40.86,23.08%,3.00,13.62, --
Enabled,Bag and Shoes cleaning,Broad match,Eligible,,4.67,0.03,,29,531,5.46%,AED,4.65,134.87,6.90%,2.00,67.43, --
Enabled,Clean Swift Laundry,Broad match,Limited,low quality,0.00,0.00,,18,254,7.09%,AED,2.11,37.89,0.00%,0.00,0.00, --
Enabled,Upholstery cleaning in Dubai,Broad match,Eligible,,2.00,0.04,,27,473,5.71%,AED,1.97,53.22,7.41%,2.00,26.61, --
Enabled,Soft Toy Cleaning,Broad match,Limited,low quality,0.00,0.00,,0,1,0.00%,AED,0,0.00,0.00%,0.00,0.00, --
Enabled,Stroller Cleaning,Broad match,Eligible,,4.00,0.03,,30,274,10.95%,AED,4.51,135.41,13.33%,4.00,33.85, --
Enabled,designer handbag cleaning,Broad match,Eligible,,0.00,0.00,,1,35,2.86%,AED,6.05,6.05,0.00%,0.00,0.00, --
Enabled,nearby laundry,Broad match,Eligible,,0.00,0.00,,8,122,6.56%,AED,0.60,4.77,0.00%,0.00,0.00, --
Enabled,best shoes cleaning,Broad match,Eligible,,0.00,0.00,,7,286,2.45%,AED,8.40,58.79,0.00%,0.00,0.00, --
Enabled,leather handbag restoration,Broad match,Eligible,,3.00,0.03,,14,145,9.66%,AED,6.81,95.36,21.43%,3.00,31.79, --
Enabled,"""laundry near me""",Phrase match,Limited,low quality,5.00,0.02,,75,"1,293",5.80%,AED,3.11,233.34,6.67%,5.00,46.67, --
Paused,cleaners nearby,Broad match,Paused,paused,32.00,0.02,,236,"2,932",8.05%,AED,5.74,1354.62,13.56%,32.00,42.33, --
Enabled,Hygienzing & Sanitizing Service,Broad match,Not eligible,rarely served,0.00,0.00,,0,0, --,AED,0,0.00,0.00%,0.00,0.00, --
Enabled,"""Laundrybox""",Phrase match,Eligible,,0.00,0.00,,0,12,0.00%,AED,0,0.00,0.00%,0.00,0.00, --
Enabled,dry clean near me,Broad match,Limited,low quality,6.67,0.04,,37,846,4.37%,AED,4.71,174.13,10.81%,4.00,43.53, --
Enabled,"""Viva Laundry""",Phrase match,Eligible,,0.00,0.00,,0,0, --,AED,0,0.00,0.00%,0.00,0.00, --
Enabled,Best laundry in Abu Dhabi,Broad match,Eligible,,1.00,0.04,,8,44,18.18%,AED,3.06,24.48,12.50%,1.00,24.48, --
